year,month,Kinneret_Level_end_of_month,tmp_air_max,rain_mm,tmp_air_min,sns_drt,rain_day,Date,Change_from_last_month
1976,10,-211.26,28.69234567901234,557.0051595723475,16.828024691358024,452.6,19,1976-10-01,-0.1699999999999875
1976,11,-211.2,24.41135632183908,1869.0250747642053,13.167471264367814,372.0,11,1976-11-01,0.060000000000002274
1976,12,-210.99,18.369184876864374,1100.4389629696848,9.495359001040583,310.83870967741933,17,1976-12-01,0.20999999999997954
1977,1,-210.6,14.799369670003713,1523.8017683934304,6.233718946978123,299.03225806451616,23,1977-01-01,0.3900000000000148
1977,2,-210.19,19.615740207373275,673.7755463145153,8.987237183179724,420.2142857142857,12,1977-02-01,0.4099999999999966
1977,4,-209.53,22.609224653921245,1096.8415290959463,10.918373799751958,467.17241379310343,13,1977-04-01,0.6599999999999966
1977,5,-209.5,27.831175208116548,42.24639129469243,14.56958224939299,566.3225806451613,6,1977-05-01,0.030000000000001137
1977,10,-210.67,26.347987711213523,814.5587228873851,14.938271889400925,429.0967741935484,10,1977-10-01,-1.1699999999999875
1977,11,-210.77,24.0818429118774,153.901991455397,11.774406130268199,405.4,10,1977-11-01,-0.10000000000002274
1977,12,-210.28,16.16635518006486,2878.0295506738626,8.03036354326677,271.16129032258067,26,1977-12-01,0.4900000000000091
1978,1,-209.72,15.816926812348248,1808.3974560872093,7.104578563995836,353.80645161290323,25,1978-01-01,0.5600000000000023
1978,2,-209.38,18.884948979591837,654.7936208126158,8.02099395313681,410.57142857142856,16,1978-02-01,0.3400000000000034
1978,3,-209.1,20.123763440860213,1048.421340642271,9.078304659498206,395.8,17,1978-03-01,0.28000000000000114
1978,4,-209.01,23.947412186379932,168.54475908975337,10.823225806451612,529.8,9,1978-04-01,0.09000000000000341
1978,5,-209.01,29.76981951272023,13.266102797657776,14.913800399488082,695.0322580645161,2,1978-05-01,0.0
1978,6,-209.26,30.154601408972933,5.847619047619048,17.02001853911754,761.5862068965517,2,1978-06-01,-0.25
1978,7,-209.65,33.50874436351024,0.0,20.922934443288245,737.8064516129032,0,1978-07-01,-0.3900000000000148
1978,8,-209.99,30.88991935483871,0.0,19.134879032258063,713.8064516129032,0,1978-08-01,-0.3400000000000034
1978,9,-210.24,29.984727598566312,1.1153846153846154,18.13217204301075,600.6,2,1978-09-01,-0.25
1978,10,-210.18,28.639021134593992,392.7157679307601,16.439054505005565,469.16129032258067,12,1978-10-01,0.060000000000002274
1978,11,-210.18,21.04432183908046,446.6867906033327,9.98688888888889,429.6,15,1978-11-01,0.0
1978,12,-210.12,17.28148738293444,1686.8502046325445,9.51764112903226,287.80645161290323,23,1978-12-01,0.060000000000002274
1979,1,-210.08,16.600319112036075,932.1029264919654,7.750121401318071,310.258064516129,21,1979-01-01,0.03999999999999204
1979,2,-210.03,18.904506506598242,468.24552364311495,8.685493131453459,423.42857142857144,17,1979-02-01,0.05000000000001137
1979,3,-209.94,20.9143603372434,739.2487404126149,9.663462243401757,449.03225806451616,19,1979-03-01,0.09000000000000341
1979,4,-210.07,25.19699380760369,239.18152677336698,12.84283482142857,521.7857142857143,12,1979-04-01,-0.12999999999999545
1979,5,-210.3,26.858955515088454,66.79420671453836,14.426505593132157,643.5483870967741,8,1979-05-01,-0.2300000000000182
1979,6,-210.63,31.458836732171555,34.6625,18.71199826968236,750.8,4,1979-06-01,-0.3299999999999841
1979,7,-211.08,31.593652445369415,0.0,20.12831078737426,745.1612903225806,0,1979-07-01,-0.45000000000001705
1979,8,-211.44,31.85766562608394,31.135294117647057,19.85966701352757,710.7096774193549,3,1979-08-01,-0.3599999999999852
1979,9,-211.64,31.175967741935487,7.0,19.376451612903224,597.8,2,1979-09-01,-0.19999999999998863
1979,10,-211.77,28.21576829691294,824.9651095306855,16.619167533818935,528.5806451612904,16,1979-10-01,-0.13000000000002387
1979,11,-211.83,24.914696223316913,864.0241101251952,14.497393267651892,395.57142857142856,13,1979-11-01,-0.060000000000002274
1979,12,-211.39,15.867910394265236,2111.708046428987,8.223040662464467,284.0,21,1979-12-01,0.44000000000002615
1980,1,-210.79,14.064099895941725,1698.7294637417363,6.082233784252514,333.8709677419355,22,1980-01-01,0.5999999999999943
1980,2,-210.07,15.276866889136079,1891.129697403342,7.24570263255469,274.13793103448273,24,1980-02-01,0.7199999999999989
1980,3,-209.09,19.027644814429415,879.090595853365,8.674856052722859,394.4516129032258,16,1980-03-01,0.9799999999999898
1980,4,-208.95,23.577772273915954,595.6675052153266,11.671325123152709,531.8,10,1980-04-01,0.14000000000001478
1980,5,-208.98,29.29479792361883,43.12657232704403,14.632473118279568,620.516129032258,5,1980-05-01,-0.030000000000001137
1980,6,-209.19,30.849863799283153,0.0,17.612956989247312,755.8,0,1980-06-01,-0.21000000000000796
1980,7,-209.52,31.53236559139784,0.0,20.324768790719848,734.9032258064516,0,1980-07-01,-0.3300000000000125
1980,8,-209.86,31.84663515016685,0.0,20.59728666772605,700.6451612903226,0,1980-08-01,-0.3400000000000034
1980,9,-210.06,30.006609347442676,11.23931623931624,18.124241622574957,629.2,3,1980-09-01,-0.19999999999998863
1980,10,-210.27,28.306485748421235,489.7464461828753,16.121940604198667,533.0322580645161,10,1980-10-01,-0.21000000000000796
1980,11,-210.35,24.253398558657178,202.80681298689183,13.256371252204588,462.4,10,1980-11-01,-0.07999999999998408
1980,12,-210.3,17.86220279123505,1815.4938808993438,9.445508737379706,266.9032258064516,20,1980-12-01,0.04999999999998295
1981,1,-209.5,14.620384404867163,2893.519643510578,6.497838687493859,298.7586206896552,23,1981-01-01,0.8000000000000114
1981,2,-209.22,15.997713529856387,1326.5392995870286,7.66321806500378,300.42857142857144,25,1981-02-01,0.28000000000000114
1981,3,-209.0,20.921040868454657,452.99799701188886,9.995785440613027,456.2068965517241,14,1981-03-01,0.21999999999999886
1981,4,-208.91,24.110596909704046,310.2151402320475,11.747430809930808,498.64285714285717,16,1981-04-01,0.09000000000000341
1981,5,-208.95,26.57508342602892,47.37619047619047,13.373204354044175,620.1290322580645,7,1981-05-01,-0.03999999999999204
1981,6,-209.13,30.49356321839081,49.504901960784316,17.80401599464818,724.1,3,1981-06-01,-0.18000000000000682
1981,7,-209.45,31.93650087398697,130.0,20.313662005402833,698.0322580645161,1,1981-07-01,-0.3199999999999932
1981,8,-209.82,32.22148418878118,0.0,20.494215795328138,683.7096774193549,0,1981-08-01,-0.37000000000000455
1981,9,-210.06,32.06300492610838,30.8,19.326182266009848,613.1,1,1981-09-01,-0.2400000000000091
1981,10,-210.21,29.717901430749038,92.34342403628118,16.769246105313957,557.6129032258065,6,1981-10-01,-0.15000000000000568
1981,11,-210.33,20.970515542721248,1066.4360638572361,10.699740954645828,432.0,18,1981-11-01,-0.12000000000000455
1981,12,-210.35,19.21414269823614,402.5291498485795,9.509435086604162,335.03225806451616,17,1981-12-01,-0.01999999999998181
1982,1,-210.41,16.97018497919499,821.405294234203,7.213348164627365,367.64516129032256,21,1982-01-01,-0.060000000000002274
1982,2,-209.98,15.385067571089737,1593.7803902013923,6.119657029478456,309.64285714285717,24,1982-02-01,0.4300000000000068
1982,3,-209.71,18.28691657804561,1100.7720939780338,7.024826821100459,458.80645161290323,22,1982-03-01,0.2699999999999818
1982,4,-209.73,25.449135802469137,183.78650327096926,12.631234567901233,441.0,15,1982-04-01,-0.01999999999998181
1982,5,-209.87,27.164588667008026,72.52622252299672,14.386426864652668,574.4516129032259,8,1982-05-01,-0.14000000000001478
1982,6,-210.15,30.661168091168097,10.066666666666666,16.909783950617285,744.8333333333334,2,1982-06-01,-0.28000000000000114
1982,7,-210.6,31.3622578807095,0.0,19.365227828324592,712.7096774193549,0,1982-07-01,-0.44999999999998863
1982,8,-211.0,32.019712605196474,0.0,20.083789895886667,673.5483870967741,0,1982-08-01,-0.4000000000000057
1982,9,-211.35,30.96948762391291,55.78947368421053,18.51065042875387,581.3666666666667,2,1982-09-01,-0.3499999999999943
1982,10,-211.59,28.508166725747376,267.2229567788229,15.92982820644111,482.19354838709677,13,1982-10-01,-0.2400000000000091
1982,11,-211.69,19.404519704433497,1332.4885811994616,9.508445995256341,343.3,17,1982-11-01,-0.09999999999999432
1982,12,-211.68,15.376591568527054,1728.926108682481,6.672412015702338,261.2258064516129,17,1982-12-01,0.009999999999990905
1983,1,-211.24,12.40353368256594,1868.7857654672625,4.649866740189322,248.25806451612902,23,1983-01-01,0.4399999999999977
1983,2,-210.61,14.398145604395607,1882.2493021654664,5.786114926739926,247.53571428571428,22,1983-02-01,0.6299999999999955
1983,3,-209.56,17.55395161290323,1291.863870300454,7.493318670576737,341.61290322580646,18,1983-03-01,1.0500000000000114
1983,4,-209.3,22.099244620114188,237.49954302128214,10.728898299767865,447.6666666666667,16,1983-04-01,0.2599999999999909
1983,5,-209.29,26.740610421836234,172.9684455126678,14.03124317617866,539.1935483870968,7,1983-05-01,0.010000000000019327
1983,6,-209.5,29.77242222222222,85.44278033794161,16.823388888888886,677.2,4,1983-06-01,-0.21000000000000796
1983,7,-209.86,31.282322580645165,7.0,19.255960729312758,678.3870967741935,1,1983-07-01,-0.36000000000001364
1983,8,-210.25,31.584987593052116,0.0,19.498044665012408,657.483870967742,0,1983-08-01,-0.38999999999998636
1983,9,-210.5,30.308727777777786,58.097744360902254,18.305827777777782,608.8666666666667,4,1983-09-01,-0.25
1983,10,-210.7,27.049844086021512,75.88101474343134,14.554930107526886,539.9354838709677,8,1983-10-01,-0.19999999999998863
1983,11,-210.61,23.336933333333334,1309.7169451402385,12.801304347826088,398.76666666666665,15,1983-11-01,0.08999999999997499
1983,12,-210.66,18.63737593052109,654.4621512569894,8.513451199338297,355.16129032258067,17,1983-12-01,-0.04999999999998295
1984,1,-210.46,15.756682027649772,1524.3674084258616,7.20437788018433,313.93548387096774,21,1984-01-01,0.19999999999998863
1984,2,-210.23,18.532758620689652,575.6739075803833,7.1647783251231525,402.82758620689657,9,1984-02-01,0.2300000000000182
1984,3,-209.79,20.01728110599079,1235.940737359352,9.351612903225808,362.3225806451613,19,1984-03-01,0.4399999999999977
1984,4,-209.42,21.95384615384615,929.2751358550935,10.634761904761907,490.8,12,1984-04-01,0.37000000000000455
1984,5,-209.46,29.003917050691243,0.5673076923076923,14.581105990783412,644.1290322580645,2,1984-05-01,-0.040000000000020464
1984,6,-209.7,29.654999999999994,2.0,16.720238095238095,732.4,2,1984-06-01,-0.23999999999998067
1984,7,-210.04,31.21104218362283,7.166666666666667,18.938890679213262,757.741935483871,1,1984-07-01,-0.3400000000000034
1984,8,-210.45,30.97181850407657,3.333333333333333,18.8883551931939,714.0,2,1984-08-01,-0.4099999999999966
1984,9,-210.72,31.278382173382173,0.0,17.55876068376068,612.8,0,1984-09-01,-0.27000000000001023
1984,10,-210.86,28.663168498168492,298.2527718371518,15.511135531135531,528.4,7,1984-10-01,-0.14000000000001478
1984,11,-210.91,21.965,1053.5310017563736,11.947142857142856,414.8,25,1984-11-01,-0.04999999999998295
1984,12,-210.91,16.327419354838714,1267.3984506893175,6.442396313364055,398.3225806451613,18,1984-12-01,0.0
1985,1,-210.84,17.428571428571427,1057.7971442412718,8.372580645161289,273.2903225806452,21,1985-01-01,0.06999999999999318
1985,2,-209.92,14.861224489795918,2010.0929331939221,5.955612244897959,316.92857142857144,21,1985-02-01,0.9200000000000159
1985,3,-209.77,20.65299539170507,124.35141637914543,8.114055299539169,456.0,8,1985-03-01,0.14999999999997726
1985,4,-209.72,23.940201465201465,639.2857529725978,11.084780219780217,497.4,8,1985-04-01,0.05000000000001137
1985,5,-209.9,28.365207373271893,17.869505494505496,15.535944700460826,511.35483870967744,6,1985-05-01,-0.18000000000000682
1985,6,-210.25,30.407820512820514,0.0,17.258205128205127,743.2,0,1985-06-01,-0.3499999999999943
1985,7,-210.65,31.704626019142147,0.0,18.443672456575683,751.1612903225806,0,1985-07-01,-0.4000000000000057
1985,8,-211.0,33.388018433179724,0.0,21.57580645161291,650.516129032258,0,1985-08-01,-0.3499999999999943
1985,9,-211.33,31.406666666666673,1.2857142857142858,18.429761904761904,615.0,1,1985-09-01,-0.3300000000000125
1985,10,-211.56,26.284945054945048,455.0752218598224,14.219047619047618,537.8,16,1985-10-01,-0.22999999999998977
1985,11,-211.73,24.841326530612236,429.8674325357543,13.24387755102041,419.35714285714283,10,1985-11-01,-0.1699999999999875
1985,12,-211.83,17.97095238095238,1367.1394128485147,8.657857142857143,356.2,17,1985-12-01,-0.10000000000002274
1986,1,-211.66,16.360981182795697,1335.3710827591713,7.652620967741935,351.0967741935484,22,1986-01-01,0.17000000000001592
1986,2,-211.27,17.832716049382714,1163.1356862432644,7.006481481481483,410.22222222222223,16,1986-02-01,0.38999999999998636
1986,3,-211.17,21.081944444444446,337.33791453277195,9.084920634920637,484.2857142857143,15,1986-03-01,0.10000000000002274
1986,4,-211.15,26.78373015873016,204.63328574760612,13.041269841269841,529.9285714285714,8,1986-04-01,0.01999999999998181
1986,5,-211.19,24.865748207885304,525.4778696640444,12.391039426523296,639.6774193548387,10,1986-05-01,-0.03999999999999204
1986,6,-211.42,30.024356725146188,36.33419913419913,17.468635477582847,723.4,4,1986-06-01,-0.22999999999998977
1986,7,-211.77,31.324649122807013,0.0,18.71665634674923,736.8,0,1986-07-01,-0.35000000000002274
1986,8,-212.14,31.71538200339559,0.0,19.51478023014526,697.3548387096774,0,1986-08-01,-0.3699999999999761
1986,9,-212.41,32.09111111111112,27.79224318658281,19.563531746031746,614.3571428571429,4,1986-09-01,-0.27000000000001023
1986,10,-212.45,27.274000000000008,416.03030393030394,15.615333333333334,534.8,10,1986-10-01,-0.03999999999999204
1986,11,-212.16,18.886896551724135,2652.006300138284,9.874655172413796,361.86206896551727,20,1986-11-01,0.28999999999999204
1986,12,-211.73,15.72612781954887,1614.587166461117,6.667857142857144,357.64285714285717,19,1986-12-01,0.4300000000000068
1987,1,-211.01,16.511544991511037,1311.9362997567578,7.180305602716468,346.4516129032258,16,1987-01-01,0.7199999999999989
1987,2,-210.6,18.481954887218045,657.6545318057472,8.459774436090227,411.85714285714283,13,1987-02-01,0.4099999999999966
1987,3,-209.87,15.746311519163017,1166.0361720912056,6.204590583964983,317.37931034482756,23,1987-03-01,0.7299999999999898
1987,4,-209.64,21.72510893246187,174.89672840840427,9.628605664488019,608.0,11,1987-04-01,0.2300000000000182
1987,5,-209.64,27.83673835125448,37.029458261037206,12.843189964157707,681.6774193548387,5,1987-05-01,0.0
1987,6,-209.77,29.664629629629633,0.0,15.965185185185183,755.0,0,1987-06-01,-0.13000000000002387
1987,7,-210.04,31.979298245614032,0.0,19.782321981424154,741.8,0,1987-07-01,-0.2699999999999818
1987,8,-210.4,32.655983772819475,0.0,20.400581236729415,699.3103448275862,0,1987-08-01,-0.36000000000001364
1987,9,-210.6,31.36568226120858,0.0,18.52612085769981,629.6,0,1987-09-01,-0.19999999999998863
1987,10,-210.78,26.198282233096975,700.603671509522,14.804803755118344,474.38709677419354,14,1987-10-01,-0.18000000000000682
1987,11,-210.89,22.74888888888888,647.6181903145207,11.339444444444444,451.4,7,1987-11-01,-0.10999999999998522
1987,12,-210.64,16.55592363261094,2905.925980637338,9.743426212590297,232.0,24,1987-12-01,0.25
1988,1,-210.1,14.650352893728575,1414.1427789602294,7.413783020770317,290.8965517241379,24,1988-01-01,0.539999999999992
1988,2,-209.28,15.155683325961968,1768.2012370112257,7.228007518796994,255.85714285714286,23,1988-02-01,0.8199999999999932
1988,3,-209.09,17.504580896686157,976.9368066638208,8.043255360623782,409.4,20,1988-03-01,0.18999999999999773
1988,4,-208.89,23.94736984448952,127.85384042435405,11.161219574036512,486.62068965517244,7,1988-04-01,0.20000000000001705
1988,5,-208.93,29.51296296296296,5.875,15.202777777777774,683.2,2,1988-05-01,-0.040000000000020464
1988,6,-209.12,30.665315904139433,2.0,17.67993464052288,712.2,2,1988-06-01,-0.18999999999999773
1988,7,-209.46,32.77332911659287,0.0,20.954585705249844,737.4193548387096,0,1988-07-01,-0.3400000000000034
1988,8,-209.79,32.2118287037037,0.0,20.82606481481481,690.6,0,1988-08-01,-0.3299999999999841
1988,9,-209.97,31.804622860255215,26.070833333333333,18.479708916900094,629.2,3,1988-09-01,-0.18000000000000682
1988,10,-210.26,26.65686002178649,389.8856864078972,14.84373910675381,531.6,16,1988-10-01,-0.28999999999999204
1988,11,-210.4,20.22965967996394,751.9964155014062,9.601487491548347,415.6551724137931,19,1988-11-01,-0.14000000000001478
1988,12,-210.33,16.257284419144003,1870.7901880373959,8.08076112165296,268.64516129032256,21,1988-12-01,0.06999999999999318
1989,1,-210.24,12.734113430318363,910.0335376433861,3.601328273244781,324.0,22,1989-01-01,0.09000000000000341
1989,2,-210.19,16.163748832866478,618.0584800461899,4.891071428571428,448.92857142857144,14,1989-02-01,0.05000000000001137
1989,3,-210.12,19.04660552393,966.2588779870775,8.083059245203458,438.19354838709677,15,1989-03-01,0.06999999999999318
1989,4,-210.25,28.202573529411765,6.5,12.489583333333332,650.0,1,1989-04-01,-0.12999999999999545
1989,5,-210.55,29.314568838288,23.04147727272727,15.071610794855578,731.4193548387096,4,1989-05-01,-0.30000000000001137
1989,6,-210.94,29.44744308278867,0.0,16.574191721132895,780.2,0,1989-06-01,-0.38999999999998636
1989,7,-211.33,31.504838709677408,0.0,19.72016129032258,777.2903225806451,0,1989-07-01,-0.3900000000000148
